proposal_id j033212-274257 11359
proposal_id j033212-274257 12177
proposal_id j033212-274257 12190
proposal_id j033212-274257 14227
target j033212-274257 CDFS-AGN1
target j033212-274257 ERSPRIME
target j033212-274257 GOODS-SOUTH-12
target j033212-274257 GOODS-SOUTH-23
target j033212-274257 GOODS-SOUTH-24
target j033212-274257 GOODS-SOUTH-35
target j033212-274257 GS5
target j033212-274257 WFC3-ERSII-G01
filter j033212-274257          WFC3-IR G102   60  128095.5
filter j033212-274257          WFC3-IR G141   52  155810.4
